                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0339,                 7.0034,                 1.9796,                      0,                      0,                      0,                      0,                 2.8012,                 9.0053,                 1.7195,                 0.0964,                 0.0004,                 0.0004
                      1,                  3.029,                 7.5118,                 1.7477,                0.00093,                0.07692,                0.00058,                0.00029,                  2.799,                 7.3783,                 1.6173,               0.091891,             0.00089109,             0.00089109
                      2,                 3.1336,                 5.8125,                 1.7792,                0.88925,                0.23932,                0.22386,                 0.1026,                 2.5606,                 4.4774,                 1.4844,               0.087372,              0.0013723,              0.0013723
                      3,                 2.7373,                 3.9139,                 1.6159,                0.95208,                0.23077,                0.29529,                 0.1251,                 2.4626,                 3.3226,                 1.3273,               0.082844,              0.0018436,              0.0018436
                      4,                 2.6144,                  3.106,                 1.4697,                0.64413,                0.32345,                0.32336,                0.13431,                 2.3377,                 2.3851,                  1.272,               0.078305,               0.002305,               0.002305
                      5,                 2.5733,                 2.5672,                 1.4583,                0.31583,                0.22988,                0.24854,                0.08859,                 2.4535,                 2.2693,                 1.2793,               0.073756,              0.0027564,              0.0027564
                      6,                 2.6635,                 2.5162,                  1.543,                0.41874,                0.45545,                0.38763,                0.13917,                 2.3219,                 2.1722,                 1.2513,               0.069198,               0.003198,               0.003198
                      7,                  2.463,                 2.2831,                 1.3955,                0.81077,                 0.4278,                0.42476,                 0.1521,                 2.2834,                 2.4009,                 1.2538,                0.06463,              0.0036297,              0.0036297
                      8,                 2.4808,                 2.2979,                 1.4148,                0.48786,                0.45131,                0.41102,                0.14839,                 2.3058,                 2.1608,                 1.2631,               0.060052,              0.0040515,              0.0040515
                      9,                 2.5168,                 2.2067,                 1.4503,                0.45811,                0.45159,                0.38557,                0.15224,                 2.2599,                  2.117,                 1.2226,               0.055463,              0.0044634,              0.0044634
                     10,                 2.4567,                 2.2626,                 1.4298,                0.44317,                0.45506,                0.39464,                0.14016,                 2.3307,                 2.1307,                 1.2625,               0.050865,              0.0048654,              0.0048654
                     11,                 2.3877,                 2.0467,                 1.3593,                0.30583,                0.39719,                0.28749,                0.10696,                 2.4026,                 2.3858,                 1.2688,               0.046257,              0.0052575,              0.0052575
                     12,                 2.5664,                 2.1006,                 1.3433,                0.44908,                0.44903,                0.41757,                0.16182,                 2.4009,                 2.9829,                 1.2454,                0.04164,              0.0056397,              0.0056397
                     13,                 2.3682,                 2.0384,                 1.3782,                0.35741,                0.49698,                0.38546,                0.14419,                 2.3361,                 3.1157,                 1.2298,               0.037012,               0.006012,               0.006012
                     14,                 2.3866,                 2.0946,                 1.3188,                0.78441,                0.46625,                0.45806,                0.15642,                 2.3357,                 3.8369,                 1.2338,               0.032374,              0.0063744,              0.0063744
                     15,                 2.4538,                 2.6715,                 1.4299,                0.42227,                 0.4203,                0.40803,                0.15684,                 2.3223,                 2.2382,                 1.2434,               0.027727,              0.0067268,              0.0067268
